Record_Type,Transaction_ID,Date,Store_ID,Store_Name,Store_City,Store_Region,Product_ID,Product_Name,Category,Sub_Category,Quantity,Unit_Cost,Unit_Retail,Expense_Type,Expense_Amount
SALES,TX-15,2025-12-28,10,Branch_10,cairo,Greater Cairo,114,Prod_114,Beverages,Soft Drinks,5,113.9,142.94,NOT_APPLICABLE,0.0
SALES,TX-16,2025-05-19,4,Branch_4,ALEXANDRIA,Delta,115,Prod_115,Home Care,Detergents,12,122.0,165.18,NOT_APPLICABLE,0.0
SALES,TX-17,2025-01-15,8,Branch_8,Tanta,Delta,118,Prod_118,Home Care,Snacks,9,150.69,200.1,NOT_APPLICABLE,0.0
SALES,TX-18,2026-04-22,4,Branch_4,ALEXANDRIA,Delta,119,Prod_119,Personal Care,Soft Drinks,12,131.93,159.21,NOT_APPLICABLE,0.0
SALES,TX-19,2025-03-04,10,Branch_10,cairo,Greater Cairo,103,Prod_103,Groceries,Dairy,9,89.89,114.74,NOT_APPLICABLE,0.0
SALES,TX-20,2025-06-20,5,Branch_5,Giza,Greater Cairo,110,Prod_110,Groceries,Snacks,12,115.99,146.81,NOT_APPLICABLE,0.0
SALES,TX-21,2025-11-05,2,Branch_2,CAIRO,Greater Cairo,119,Prod_119,Personal Care,Dairy,2,136.64,183.49,NOT_APPLICABLE,0.0
SALES,TX-22,2025-09-07,1,Branch_1,cairo,Alex Coast,105,Prod_105,Personal Care,Detergents,6,87.87,108.68,NOT_APPLICABLE,0.0
SALES,TX-23,2025-05-21,1,Branch_1,cairo,Alex Coast,118,Prod_118,Personal Care,Snacks,4,127.98,176.63,NOT_APPLICABLE,0.0
SALES,TX-24,2025-04-20,7,Branch_7,Mansoura,Greater Cairo,106,Prod_106,Personal Care,Snacks,1,99.87,132.42,NOT_APPLICABLE,0.0
SALES,TX-25,2025-09-25,3,Branch_3,Alexandria,Delta,101,Prod_101,Home Care,Soft Drinks,9,84.23,115.21,NOT_APPLICABLE,0.0
SALES,TX-26,2026-02-20,10,Branch_10,cairo,Greater Cairo,112,Prod_112,Groceries,Dairy,2,124.4,152.3,NOT_APPLICABLE,0.0
STORE_EXPENSE,TX-27,2026-04-01,2,Branch_2,CAIRO,Greater Cairo,0,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,0,0.0,0.0,Salaries,11196.41
SALES,TX-28,2026-03-11,2,Branch_2,CAIRO,Greater Cairo,102,Prod_102,Beverages,Soft Drinks,4,87.46,115.05,NOT_APPLICABLE,0.0
SALES,TX-29,2026-04-13,7,Branch_7,Mansoura,Greater Cairo,117,Prod_117,Personal Care,Soft Drinks,7,148.36,188.93,NOT_APPLICABLE,0.0
SALES,TX-30,2025-03-13,1,Branch_1,cairo,Alex Coast,113,Prod_113,Groceries,Dairy,9,123.08,158.35,NOT_APPLICABLE,0.0
SALES,TX-31,2025-10-17,4,Branch_4,ALEXANDRIA,Delta,104,Prod_104,Personal Care,Shampoo,4,80.04,97.64,NOT_APPLICABLE,0.0
SALES,TX-32,2025-01-07,1,Branch_1,cairo,Alex Coast,118,Prod_118,Groceries,Dairy,2,140.27,192.1,NOT_APPLICABLE,0.0
SALES,TX-33,2025-11-22,4,Branch_4,ALEXANDRIA,Delta,101,Prod_101,Personal Care,Soft Drinks,5,81.86,103.35,NOT_APPLICABLE,0.0
SALES,TX-34,2025-02-12,8,Branch_8,Tanta,Delta,102,Prod_102,Home Care,Snacks,1,79.62,107.66,NOT_APPLICABLE,0.0
SALES,TX-35,2025-08-23,3,Branch_3,Alexandria,Delta,100,Prod_100,Home Care,Dairy,3,79.16,100.0,NOT_APPLICABLE,0.0
STORE_EXPENSE,TX-36,2025-04-01,10,Branch_10,cairo,Greater Cairo,0,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,0,0.0,0.0,Rent,17909.95
SALES,TX-37,2025-05-04,6,Branch_6,GIZA,Alex Coast,116,Prod_116,Home Care,Dairy,2,121.71,163.45,NOT_APPLICABLE,0.0
SALES,TX-38,2026-05-12,5,Branch_5,Giza,Greater Cairo,111,Prod_111,Home Care,Shampoo,5,106.63,143.05,NOT_APPLICABLE,0.0
SALES,TX-39,2026-01-01,7,Branch_7,Mansoura,Greater Cairo,101,Prod_101,Personal Care,Dairy,5,82.2,111.49,NOT_APPLICABLE,0.0
SALES,TX-40,2025-12-21,8,Branch_8,Tanta,Delta,109,Prod_109,Personal Care,Shampoo,1,108.33,143.75,NOT_APPLICABLE,0.0
SALES,TX-41,2025-09-27,6,Branch_6,GIZA,Alex Coast,113,Prod_113,Home Care,Shampoo,5,120.82,163.64,NOT_APPLICABLE,0.0
SALES,TX-42,2025-10-22,10,Branch_10,cairo,Greater Cairo,110,Prod_110,Home Care,Snacks,2,117.06,152.06,NOT_APPLICABLE,0.0
SALES,TX-43,2025-08-27,3,Branch_3,Alexandria,Delta,107,Prod_107,Personal Care,Dairy,2,105.49,128.07,NOT_APPLICABLE,0.0
SALES,TX-44,2025-09-28,2,Branch_2,CAIRO,Greater Cairo,118,Prod_118,Home Care,Dairy,1,152.44,199.84,NOT_APPLICABLE,0.0
SALES,TX-45,2025-05-01,5,Branch_5,Giza,Greater Cairo,115,Prod_115,Groceries,Detergents,2,121.17,166.62,NOT_APPLICABLE,0.0
SALES,TX-46,2025-11-01,3,Branch_3,Alexandria,Delta,104,Prod_104,Beverages,Shampoo,3,95.16,117.85,NOT_APPLICABLE,0.0
SALES,TX-47,2025-03-30,10,Branch_10,cairo,Greater Cairo,105,Prod_105,Groceries,Shampoo,12,89.53,114.53,NOT_APPLICABLE,0.0
SALES,TX-48,2026-01-03,4,Branch_4,ALEXANDRIA,Delta,108,Prod_108,Home Care,Shampoo,2,109.46,148.56,NOT_APPLICABLE,0.0
SALES,TX-49,2025-01-07,7,Branch_7,Mansoura,Greater Cairo,118,Prod_118,Personal Care,Snacks,5,147.79,188.37,NOT_APPLICABLE,0.0
SALES,TX-50,2025-03-15,4,Branch_4,ALEXANDRIA,Delta,103,Prod_103,Personal Care,Shampoo,11,89.51,122.14,NOT_APPLICABLE,0.0
SALES,TX-51,2025-11-21,8,Branch_8,Tanta,Delta,104,Prod_104,Home Care,Snacks,8,93.4,118.69,NOT_APPLICABLE,0.0
SALES,TX-52,2026-01-02,1,Branch_1,cairo,Alex Coast,117,Prod_117,Personal Care,Shampoo,12,127.77,159.7,NOT_APPLICABLE,0.0
SALES,TX-53,2025-01-28,5,Branch_5,Giza,Greater Cairo,103,Prod_103,Home Care,Detergents,5,80.45,97.88,NOT_APPLICABLE,0.0
SALES,TX-54,2026-03-26,3,Branch_3,Alexandria,Delta,118,Prod_118,Personal Care,Detergents,10,131.15,164.63,NOT_APPLICABLE,0.0
SALES,TX-55,2025-04-01,4,Branch_4,ALEXANDRIA,Delta,103,Prod_103,Home Care,Snacks,4,82.73,101.37,NOT_APPLICABLE,0.0
SALES,TX-56,2025-07-10,1,Branch_1,cairo,Alex Coast,108,Prod_108,Beverages,Soft Drinks,1,100.12,130.67,NOT_APPLICABLE,0.0
SALES,TX-57,2025-07-02,6,Branch_6,GIZA,Alex Coast,113,Prod_113,Groceries,Dairy,3,127.38,175.32,NOT_APPLICABLE,0.0
SALES,TX-58,2025-05-11,5,Branch_5,Giza,Greater Cairo,102,Prod_102,Home Care,Snacks,7,73.47,91.27,NOT_APPLICABLE,0.0
SALES,TX-59,2025-03-05,5,Branch_5,Giza,Greater Cairo,115,Prod_115,Groceries,Detergents,11,135.83,171.29,NOT_APPLICABLE,0.0
SALES,TX-60,2025-02-14,8,Branch_8,Tanta,Delta,101,Prod_101,Beverages,Shampoo,12,72.42,89.31,NOT_APPLICABLE,0.0
SALES,TX-61,2025-06-10,5,Branch_5,Giza,Greater Cairo,111,Prod_111,Groceries,Detergents,2,107.35,129.11,NOT_APPLICABLE,0.0
SALES,TX-62,2025-03-05,3,Branch_3,Alexandria,Delta,107,Prod_107,Groceries,Dairy,4,99.82,121.15,NOT_APPLICABLE,0.0
SALES,TX-63,2025-01-20,4,Branch_4,ALEXANDRIA,Delta,104,Prod_104,Beverages,Snacks,10,91.45,115.8,NOT_APPLICABLE,0.0
SALES,TX-64,2025-10-14,1,Branch_1,cairo,Alex Coast,113,Prod_113,Home Care,Dairy,10,122.23,159.55,NOT_APPLICABLE,0.0
SALES,TX-65,2025-11-30,6,Branch_6,GIZA,Alex Coast,116,Prod_116,Personal Care,Shampoo,10,120.52,146.26,NOT_APPLICABLE,0.0
SALES,TX-66,2026-04-07,4,Branch_4,ALEXANDRIA,Delta,102,Prod_102,Beverages,Shampoo,6,88.24,108.59,NOT_APPLICABLE,0.0
SALES,TX-67,2026-02-11,9,Branch_9,Cairo,Delta,112,Prod_112,Personal Care,Detergents,11,114.34,149.55,NOT_APPLICABLE,0.0
SALES,TX-68,2025-12-20,6,Branch_6,GIZA,Alex Coast,114,Prod_114,Beverages,Dairy,11,125.36,163.73,NOT_APPLICABLE,0.0
SALES,TX-69,2025-12-09,9,Branch_9,Cairo,Delta,108,Prod_108,Personal Care,Shampoo,7,108.73,142.78,NOT_APPLICABLE,0.0
SALES,TX-70,2025-12-28,2,Branch_2,CAIRO,Greater Cairo,101,Prod_101,Personal Care,Snacks,7,72.06,86.89,NOT_APPLICABLE,0.0
SALES,TX-71,2025-04-26,6,Branch_6,GIZA,Alex Coast,100,Prod_100,Beverages,Shampoo,8,72.27,90.63,NOT_APPLICABLE,0.0
SALES,TX-72,2025-06-07,10,Branch_10,cairo,Greater Cairo,114,Prod_114,Groceries,Dairy,1,114.32,149.54,NOT_APPLICABLE,0.0
SALES,TX-73,2025-05-09,10,Branch_10,cairo,Greater Cairo,115,Prod_115,Beverages,Snacks,10,116.92,143.24,NOT_APPLICABLE,0.0
SALES,TX-74,2025-06-05,10,Branch_10,cairo,Greater Cairo,105,Prod_105,Beverages,Dairy,5,91.46,124.5,NOT_APPLICABLE,0.0
SALES,TX-75,2026-04-27,7,Branch_7,Mansoura,Greater Cairo,109,Prod_109,Groceries,Shampoo,7,115.48,153.9,NOT_APPLICABLE,0.0
SALES,TX-76,2025-01-15,7,Branch_7,Mansoura,Greater Cairo,102,Prod_102,Groceries,Detergents,8,87.58,122.35,NOT_APPLICABLE,0.0
SALES,TX-77,2026-01-11,1,Branch_1,cairo,Alex Coast,112,Prod_112,Beverages,Snacks,11,112.05,152.03,NOT_APPLICABLE,0.0
STORE_EXPENSE,TX-78,2026-01-01,3,Branch_3,Alexandria,Delta,0,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,0,0.0,0.0,Salaries,35281.6
SALES,TX-79,2025-02-18,5,Branch_5,Giza,Greater Cairo,113,Prod_113,Personal Care,Snacks,2,112.44,140.13,NOT_APPLICABLE,0.0
SALES,TX-80,2025-04-27,6,Branch_6,GIZA,Alex Coast,112,Prod_112,Home Care,Detergents,8,119.69,156.32,NOT_APPLICABLE,0.0
SALES,TX-81,2025-01-24,3,Branch_3,Alexandria,Delta,113,Prod_113,Personal Care,Shampoo,9,109.77,146.34,NOT_APPLICABLE,0.0
SALES,TX-82,2025-10-13,8,Branch_8,Tanta,Delta,119,Prod_119,Beverages,Dairy,5,147.31,182.67,NOT_APPLICABLE,0.0
SALES,TX-83,2025-10-15,10,Branch_10,cairo,Greater Cairo,111,Prod_111,Beverages,Shampoo,12,122.8,149.33,NOT_APPLICABLE,0.0
SALES,TX-84,2025-12-31,8,Branch_8,Tanta,Delta,104,Prod_104,Home Care,Snacks,10,80.8,112.75,NOT_APPLICABLE,0.0
SALES,TX-85,2025-06-15,6,Branch_6,GIZA,Alex Coast,101,Prod_101,Beverages,Shampoo,4,81.55,103.27,NOT_APPLICABLE,0.0
SALES,TX-86,2025-09-12,3,Branch_3,Alexandria,Delta,105,Prod_105,Beverages,Soft Drinks,1,90.13,123.3,NOT_APPLICABLE,0.0
SALES,TX-87,2025-11-08,3,Branch_3,Alexandria,Delta,108,Prod_108,Personal Care,Shampoo,2,106.07,135.29,NOT_APPLICABLE,0.0
SALES,TX-88,2026-03-19,9,Branch_9,Cairo,Delta,106,Prod_106,Groceries,Soft Drinks,2,99.25,132.18,NOT_APPLICABLE,0.0
SALES,TX-89,2026-04-04,1,Branch_1,cairo,Alex Coast,101,Prod_101,Personal Care,Dairy,10,78.75,98.32,NOT_APPLICABLE,0.0
SALES,TX-90,2025-01-20,6,Branch_6,GIZA,Alex Coast,104,Prod_104,Home Care,Dairy,11,87.56,113.74,NOT_APPLICABLE,0.0
SALES,TX-91,2025-05-19,3,Branch_3,Alexandria,Delta,111,Prod_111,Home Care,Shampoo,7,108.82,142.91,NOT_APPLICABLE,0.0
SALES,TX-92,2025-11-23,8,Branch_8,Tanta,Delta,113,Prod_113,Beverages,Dairy,-5,130.55,164.36,NOT_APPLICABLE,0.0
SALES,TX-93,2025-01-03,1,Branch_1,cairo,Alex Coast,109,Prod_109,Personal Care,Shampoo,4,116.46,153.4,NOT_APPLICABLE,0.0
SALES,TX-94,2025-09-28,4,Branch_4,ALEXANDRIA,Delta,108,Prod_108,Personal Care,Shampoo,5,103.3,132.8,NOT_APPLICABLE,0.0
SALES,TX-95,2026-02-05,7,Branch_7,Mansoura,Greater Cairo,102,Prod_102,Groceries,Soft Drinks,9,85.08,110.1,NOT_APPLICABLE,0.0
SALES,TX-96,2025-08-06,5,Branch_5,Giza,Greater Cairo,105,Prod_105,Groceries,Shampoo,3,93.88,126.29,NOT_APPLICABLE,0.0
SALES,TX-97,2026-03-17,9,Branch_9,Cairo,Delta,112,Prod_112,Beverages,Detergents,9,119.37,149.41,NOT_APPLICABLE,0.0
SALES,TX-98,2025-10-22,9,Branch_9,Cairo,Delta,116,Prod_116,Home Care,Soft Drinks,1,129.23,159.45,NOT_APPLICABLE,0.0
SALES,TX-99,2025-04-10,8,Branch_8,Tanta,Delta,100,Prod_100,Beverages,Dairy,10,72.14,96.36,NOT_APPLICABLE,0.0
SALES,TX-100,2025-08-01,3,Branch_3,Alexandria,Delta,100,Prod_100,Personal Care,Soft Drinks,6,78.07,103.73,NOT_APPLICABLE,0.0
SALES,TX-101,2025-05-20,5,Branch_5,Giza,Greater Cairo,102,Prod_102,Groceries,Detergents,1,77.07,107.13,NOT_APPLICABLE,0.0
SALES,TX-102,2026-02-14,5,Branch_5,Giza,Greater Cairo,100,Prod_100,Home Care,Soft Drinks,6,69.77,88.37,NOT_APPLICABLE,0.0
SALES,TX-103,2025-09-20,6,Branch_6,GIZA,Alex Coast,115,Prod_115,Home Care,Dairy,7,116.71,156.18,NOT_APPLICABLE,0.0
SALES,TX-104,2026-01-16,4,Branch_4,ALEXANDRIA,Delta,103,Prod_103,Groceries,Shampoo,9,77.2,107.31,NOT_APPLICABLE,0.0
SALES,TX-105,2025-12-03,2,Branch_2,CAIRO,Greater Cairo,102,Prod_102,Groceries,Soft Drinks,3,83.37,109.75,NOT_APPLICABLE,0.0
SALES,TX-106,2025-03-05,4,Branch_4,ALEXANDRIA,Delta,101,Prod_101,Beverages,Dairy,2,74.04,97.8,NOT_APPLICABLE,0.0
SALES,TX-107,2025-04-11,4,Branch_4,ALEXANDRIA,Delta,113,Prod_113,Home Care,Snacks,10,120.35,151.04,NOT_APPLICABLE,0.0
SALES,TX-108,2025-11-23,10,Branch_10,cairo,Greater Cairo,119,Prod_119,Groceries,Dairy,12,136.57,187.35,NOT_APPLICABLE,0.0
SALES,TX-109,2025-08-01,10,Branch_10,cairo,Greater Cairo,109,Prod_109,Groceries,Soft Drinks,12,98.6,122.48,NOT_APPLICABLE,0.0
SALES,TX-110,2026-01-08,4,Branch_4,ALEXANDRIA,Delta,103,Prod_103,Beverages,Detergents,8,77.18,101.78,NOT_APPLICABLE,0.0
SALES,TX-111,2025-10-18,10,Branch_10,cairo,Greater Cairo,113,Prod_113,Home Care,Snacks,1,131.54,173.6,NOT_APPLICABLE,0.0
SALES,TX-112,2026-03-15,6,Branch_6,GIZA,Alex Coast,107,Prod_107,Groceries,Snacks,11,90.76,121.18,NOT_APPLICABLE,0.0
SALES,TX-113,2025-04-06,6,Branch_6,GIZA,Alex Coast,111,Prod_111,Beverages,Detergents,7,119.45,156.42,NOT_APPLICABLE,0.0
SALES,TX-114,2025-11-04,7,Branch_7,Mansoura,Greater Cairo,110,Prod_110,Groceries,Shampoo,11,112.32,147.11,NOT_APPLICABLE,0.0
SALES,TX-115,2026-04-26,8,Branch_8,Tanta,Delta,105,Prod_105,Beverages,Soft Drinks,11,85.17,106.05,NOT_APPLICABLE,0.0
SALES,TX-116,2025-07-12,8,Branch_8,Tanta,Delta,114,Prod_114,Groceries,Shampoo,4,118.56,149.1,NOT_APPLICABLE,0.0
SALES,TX-117,2025-05-29,6,Branch_6,GIZA,Alex Coast,119,Prod_119,Groceries,Shampoo,4,153.34,209.49,NOT_APPLICABLE,0.0
SALES,TX-118,2025-06-16,10,Branch_10,cairo,Greater Cairo,112,Prod_112,Home Care,Soft Drinks,9,120.06,158.67,NOT_APPLICABLE,0.0
SALES,TX-119,2025-06-14,5,Branch_5,Giza,Greater Cairo,112,Prod_112,Groceries,Detergents,3,106.82,135.65,NOT_APPLICABLE,0.0
SALES,TX-120,2025-07-22,1,Branch_1,cairo,Alex Coast,116,Prod_116,Home Care,Shampoo,11,135.77,174.22,NOT_APPLICABLE,0.0
SALES,TX-121,2026-02-11,4,Branch_4,ALEXANDRIA,Delta,110,Prod_110,Personal Care,Detergents,4,108.42,147.54,NOT_APPLICABLE,0.0
SALES,TX-122,2025-03-11,2,Branch_2,CAIRO,Greater Cairo,113,Prod_113,Personal Care,Detergents,9,112.86,141.68,NOT_APPLICABLE,0.0
SALES,TX-123,2025-01-22,9,Branch_9,Cairo,Delta,119,Prod_119,Home Care,Dairy,11,150.79,189.88,NOT_APPLICABLE,0.0
SALES,TX-124,2026-02-14,8,Branch_8,Tanta,Delta,118,Prod_118,Beverages,Soft Drinks,1,150.57,195.31,NOT_APPLICABLE,0.0
SALES,TX-125,2025-02-05,7,Branch_7,Mansoura,Greater Cairo,117,Prod_117,Groceries,Dairy,8,147.34,189.85,NOT_APPLICABLE,0.0
SALES,TX-126,2025-06-11,10,Branch_10,cairo,Greater Cairo,102,Prod_102,Groceries,Shampoo,8,78.32,103.44,NOT_APPLICABLE,0.0
SALES,TX-127,2025-11-26,5,Branch_5,Giza,Greater Cairo,101,Prod_101,Groceries,Shampoo,8,74.82,99.76,NOT_APPLICABLE,0.0
SALES,TX-128,2026-05-05,4,Branch_4,ALEXANDRIA,Delta,118,Prod_118,Home Care,Snacks,1,128.32,177.29,NOT_APPLICABLE,0.0
SALES,TX-129,2025-01-21,3,Branch_3,Alexandria,Delta,104,Prod_104,Personal Care,Shampoo,2,89.29,118.24,NOT_APPLICABLE,0.0
SALES,TX-130,2026-04-19,9,Branch_9,Cairo,Delta,113,Prod_113,Beverages,Detergents,10,125.65,154.09,NOT_APPLICABLE,0.0
SALES,TX-131,2026-01-27,4,Branch_4,ALEXANDRIA,Delta,113,Prod_113,Personal Care,Snacks,6,114.3,140.32,NOT_APPLICABLE,0.0
SALES,TX-132,2025-06-28,9,Branch_9,Cairo,Delta,118,Prod_118,Beverages,Soft Drinks,1,140.62,186.63,NOT_APPLICABLE,0.0
SALES,TX-133,2026-01-27,8,Branch_8,Tanta,Delta,119,Prod_119,Home Care,Dairy,10,132.45,179.11,NOT_APPLICABLE,0.0
STORE_EXPENSE,TX-134,2025-03-01,8,Branch_8,Tanta,Delta,0,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,0,0.0,0.0,Electricity,56307.1
SALES,TX-135,2026-05-02,8,Branch_8,Tanta,Delta,113,Prod_113,Personal Care,Dairy,9,119.04,145.36,NOT_APPLICABLE,0.0
SALES,TX-136,2026-05-04,3,Branch_3,Alexandria,Delta,119,Prod_119,Groceries,Detergents,10,132.78,173.46,NOT_APPLICABLE,0.0
SALES,TX-137,2025-03-05,10,Branch_10,cairo,Greater Cairo,118,Prod_118,Beverages,Snacks,3,150.42,193.0,NOT_APPLICABLE,0.0
SALES,TX-138,2026-02-13,1,Branch_1,cairo,Alex Coast,108,Prod_108,Home Care,Shampoo,6,102.67,126.0,NOT_APPLICABLE,0.0
SALES,TX-139,2025-01-15,1,Branch_1,cairo,Alex Coast,105,Prod_105,Personal Care,Dairy,5,84.5,112.2,NOT_APPLICABLE,0.0
SALES,TX-140,2026-05-10,1,Branch_1,cairo,Alex Coast,118,Prod_118,Home Care,Dairy,11,151.62,187.03,NOT_APPLICABLE,0.0
SALES,TX-141,2026-04-11,4,Branch_4,ALEXANDRIA,Delta,117,Prod_117,Beverages,Soft Drinks,9,134.96,184.79,NOT_APPLICABLE,0.0
SALES,TX-142,2026-04-30,7,Branch_7,Mansoura,Greater Cairo,105,Prod_105,Personal Care,Shampoo,10,99.18,123.29,NOT_APPLICABLE,0.0
SALES,TX-143,2025-01-21,9,Branch_9,Cairo,Delta,118,Prod_118,Personal Care,Snacks,10,146.1,190.48,NOT_APPLICABLE,0.0
SALES,TX-144,2025-04-26,1,Branch_1,cairo,Alex Coast,117,Prod_117,Beverages,Shampoo,6,146.27,198.91,NOT_APPLICABLE,0.0
SALES,TX-145,2026-04-14,2,Branch_2,CAIRO,Greater Cairo,103,Prod_103,Groceries,Snacks,5,83.89,113.38,NOT_APPLICABLE,0.0
SALES,TX-146,2026-03-12,10,Branch_10,cairo,Greater Cairo,117,Prod_117,Home Care,Detergents,5,129.65,177.09,NOT_APPLICABLE,0.0
SALES,TX-147,2026-02-25,4,Branch_4,ALEXANDRIA,Delta,111,Prod_111,Groceries,Shampoo,4,118.69,162.79,NOT_APPLICABLE,0.0
SALES,TX-148,2026-03-08,10,Branch_10,cairo,Greater Cairo,103,Prod_103,Home Care,Detergents,7,92.25,127.42,NOT_APPLICABLE,0.0
SALES,TX-149,2025-10-27,10,Branch_10,cairo,Greater Cairo,110,Prod_110,Groceries,Shampoo,12,103.93,142.74,NOT_APPLICABLE,0.0
SALES,TX-150,2025-01-06,6,Branch_6,GIZA,Alex Coast,112,Prod_112,Home Care,Snacks,4,120.75,158.17,NOT_APPLICABLE,0.0
SALES,TX-151,2025-07-28,8,Branch_8,Tanta,Delta,106,Prod_106,Groceries,Soft Drinks,3,93.44,128.88,NOT_APPLICABLE,0.0
SALES,TX-152,2025-05-06,6,Branch_6,GIZA,Alex Coast,110,Prod_110,Personal Care,Dairy,1,107.19,148.33,NOT_APPLICABLE,0.0
SALES,TX-153,2026-02-07,5,Branch_5,Giza,Greater Cairo,109,Prod_109,Home Care,Dairy,3,105.45,128.76,NOT_APPLICABLE,0.0
SALES,TX-154,2025-02-05,9,Branch_9,Cairo,Delta,116,Prod_116,Personal Care,Snacks,5,128.54,160.38,NOT_APPLICABLE,0.0
SALES,TX-155,2026-01-04,7,Branch_7,Mansoura,Greater Cairo,109,Prod_109,Personal Care,Dairy,4,111.43,140.92,NOT_APPLICABLE,0.0
SALES,TX-156,2026-01-25,3,Branch_3,Alexandria,Delta,103,Prod_103,Home Care,Snacks,8,77.44,106.84,NOT_APPLICABLE,0.0
SALES,TX-157,2025-12-11,5,Branch_5,Giza,Greater Cairo,116,Prod_116,Groceries,Dairy,6,123.81,160.77,NOT_APPLICABLE,0.0
SALES,TX-158,2026-03-23,3,Branch_3,Alexandria,Delta,114,Prod_114,Groceries,Snacks,11,116.91,153.34,NOT_APPLICABLE,0.0
SALES,TX-159,2025-02-10,7,Branch_7,Mansoura,Greater Cairo,110,Prod_110,Personal Care,Dairy,6,101.39,139.57,NOT_APPLICABLE,0.0
SALES,TX-160,2026-02-25,4,Branch_4,ALEXANDRIA,Delta,100,Prod_100,Groceries,Snacks,6,67.24,88.8,NOT_APPLICABLE,0.0
SALES,TX-161,2025-07-30,10,Branch_10,cairo,Greater Cairo,116,Prod_116,Beverages,Shampoo,12,137.91,174.15,NOT_APPLICABLE,0.0
SALES,TX-162,2026-01-24,10,Branch_10,cairo,Greater Cairo,117,Prod_117,Personal Care,Shampoo,11,125.3,157.45,NOT_APPLICABLE,0.0
SALES,TX-163,2026-03-08,7,Branch_7,Mansoura,Greater Cairo,104,Prod_104,Home Care,Dairy,12,86.16,107.37,NOT_APPLICABLE,0.0
STORE_EXPENSE,TX-164,2026-02-01,7,Branch_7,Mansoura,Greater Cairo,0,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,0,0.0,0.0,Salaries,46862.85
SALES,TX-165,2025-05-06,7,Branch_7,Mansoura,Greater Cairo,113,Prod_113,Beverages,Detergents,9,113.35,156.72,NOT_APPLICABLE,0.0
SALES,TX-166,2025-03-04,9,Branch_9,Cairo,Delta,117,Prod_117,Groceries,Snacks,1,131.22,161.43,NOT_APPLICABLE,0.0
SALES,TX-167,2025-12-17,7,Branch_7,Mansoura,Greater Cairo,113,Prod_113,Beverages,Shampoo,6,126.26,173.39,NOT_APPLICABLE,0.0
SALES,TX-168,2025-07-20,3,Branch_3,Alexandria,Delta,118,Prod_118,Groceries,Soft Drinks,1,132.72,178.07,NOT_APPLICABLE,0.0
SALES,TX-169,2026-02-24,4,Branch_4,ALEXANDRIA,Delta,116,Prod_116,Beverages,Soft Drinks,1,121.41,163.25,NOT_APPLICABLE,0.0
